participant_id,chatbot_use_social_relational,relational_flag,z_history_social_pct,donated,z_intensity,z_self_disclosure,tenure_of_activity,male,non_binary,age,single,z_social_network_scale,topic_emotional_support_check,well_being
1,0.00,0.00,0.29,1.00,-0.82,-1.19,3.00,0.00,0.00,23.00,0.00,-0.88,0.00,4.00
2,0.00,0.00,,0.00,-0.42,-0.96,2.00,1.00,0.00,46.00,0.00,0.14,,6.00
3,0.00,1.00,,0.00,-0.31,-0.74,2.00,0.00,0.00,51.00,0.00,-1.38,,5.50
4,1.00,1.00,,0.00,-0.93,0.51,3.00,1.00,0.00,23.00,0.00,-0.37,,4.67
5,1.00,1.00,,0.00,-0.64,0.39,2.00,1.00,0.00,53.00,0.00,-1.38,,4.50
6,0.00,0.00,-0.92,1.00,0.47,-1.30,3.00,0.00,1.00,32.00,1.00,1.65,1.00,6.67
7,0.00,0.00,,0.00,0.28,-0.40,3.00,1.00,0.00,42.00,0.00,0.64,,5.83
8,0.00,0.00,,0.00,0.18,-0.17,2.00,1.00,0.00,31.00,0.00,0.64,,5.83
9,1.00,1.00,,0.00,0.94,1.19,3.00,0.00,0.00,37.00,0.00,0.14,,6.17
10,0.00,1.00,1.44,1.00,1.45,1.30,3.00,0.00,0.00,21.00,1.00,1.65,1.00,3.00
11,0.00,0.00,-1.60,1.00,0.67,0.51,2.00,0.00,0.00,32.00,1.00,-0.37,0.00,5.83
12,0.00,0.00,0.33,1.00,-1.05,1.07,3.00,1.00,0.00,28.00,0.00,-1.38,1.00,5.17
13,0.00,1.00,,0.00,0.24,-0.40,2.00,0.00,0.00,33.00,0.00,-0.37,,5.83
14,0.00,0.00,,0.00,1.08,-0.06,3.00,1.00,0.00,19.00,0.00,0.64,,5.67
15,1.00,1.00,,0.00,1.55,1.07,1.00,1.00,0.00,26.00,0.00,0.64,,7.00
16,0.00,1.00,,0.00,-0.89,-0.51,3.00,1.00,0.00,34.00,0.00,2.16,,5.00
17,0.00,1.00,,0.00,-0.33,-0.51,3.00,1.00,0.00,53.00,0.00,0.64,,5.33
18,0.00,0.00,,0.00,1.07,1.19,3.00,1.00,0.00,43.00,0.00,-0.37,,7.00
19,0.00,0.00,,0.00,0.97,-1.98,3.00,0.00,0.00,34.00,0.00,-0.88,,4.33
20,0.00,0.00,,0.00,1.37,1.41,3.00,1.00,0.00,26.00,0.00,1.15,,7.00
21,0.00,1.00,,0.00,0.35,0.51,3.00,1.00,0.00,28.00,1.00,0.64,,3.67
22,0.00,1.00,,0.00,0.88,0.62,3.00,0.00,0.00,26.00,0.00,-0.88,,5.00
23,0.00,0.00,,0.00,-1.19,-0.40,1.00,0.00,0.00,26.00,0.00,-0.88,,3.50
24,0.00,1.00,-1.15,1.00,-2.56,-1.19,1.00,1.00,0.00,27.00,1.00,-0.37,1.00,7.00
25,0.00,0.00,,0.00,0.46,0.73,3.00,1.00,0.00,30.00,0.00,0.64,,5.67
26,1.00,1.00,,0.00,-0.37,0.73,3.00,1.00,0.00,24.00,1.00,1.15,,5.67
27,0.00,1.00,,0.00,0.84,0.96,2.00,0.00,0.00,48.00,0.00,-0.88,,4.83
28,0.00,1.00,,0.00,0.92,0.73,3.00,1.00,0.00,25.00,0.00,0.14,,5.33
29,0.00,0.00,-1.13,1.00,0.19,0.62,3.00,0.00,0.00,26.00,1.00,-0.37,1.00,4.83
30,0.00,1.00,,0.00,0.91,-0.62,2.00,0.00,0.00,20.00,1.00,-0.37,,3.83
31,0.00,1.00,,0.00,0.34,1.52,2.00,1.00,0.00,27.00,1.00,-0.88,,3.67
32,0.00,1.00,,0.00,0.36,0.73,1.00,1.00,0.00,22.00,0.00,-0.88,,5.83
33,0.00,1.00,,0.00,0.59,0.73,2.00,0.00,0.00,22.00,1.00,-1.89,,4.67
34,0.00,1.00,,0.00,0.98,-0.06,3.00,1.00,0.00,29.00,1.00,1.15,,5.33
35,1.00,1.00,,0.00,-0.13,-1.42,3.00,0.00,0.00,22.00,0.00,0.14,,5.67
36,0.00,0.00,,0.00,0.10,0.73,3.00,1.00,0.00,31.00,0.00,-0.88,,5.50
37,0.00,1.00,0.29,1.00,-0.74,0.05,3.00,0.00,0.00,18.00,1.00,-0.37,0.00,3.17
38,0.00,0.00,1.44,1.00,0.40,0.51,1.00,1.00,0.00,19.00,1.00,0.64,0.00,3.83
39,0.00,0.00,,0.00,0.52,0.51,3.00,1.00,0.00,20.00,1.00,-0.37,,4.00
40,0.00,1.00,0.33,1.00,-0.84,-0.62,2.00,1.00,0.00,26.00,0.00,0.64,1.00,6.67
41,0.00,1.00,,0.00,1.16,1.07,3.00,1.00,0.00,31.00,1.00,-0.37,,5.67
42,0.00,0.00,,0.00,0.41,0.73,3.00,0.00,0.00,68.00,0.00,1.15,,7.00
43,1.00,1.00,,0.00,1.09,1.19,3.00,0.00,0.00,33.00,0.00,0.14,,6.50
44,0.00,1.00,,0.00,-0.19,-0.06,3.00,1.00,0.00,33.00,0.00,-1.38,,4.17
45,0.00,1.00,,0.00,0.98,-0.74,3.00,1.00,0.00,32.00,0.00,0.64,,5.00
46,0.00,1.00,-1.60,1.00,0.16,-0.62,2.00,1.00,0.00,34.00,0.00,-0.37,0.00,3.33
47,0.00,1.00,,0.00,0.09,-0.40,2.00,0.00,0.00,34.00,0.00,0.14,,5.00
48,0.00,0.00,,0.00,-0.74,-2.43,2.00,1.00,0.00,46.00,1.00,1.15,,3.67
49,0.00,0.00,,0.00,-1.42,-1.08,1.00,1.00,0.00,23.00,1.00,0.64,,5.83
50,0.00,1.00,,0.00,1.62,1.52,2.00,1.00,0.00,27.00,0.00,0.64,,7.00
51,0.00,1.00,-0.09,1.00,0.56,0.28,3.00,1.00,0.00,27.00,1.00,0.64,1.00,4.67
52,0.00,1.00,,0.00,-0.68,-0.40,2.00,1.00,0.00,24.00,1.00,-1.38,,2.83
53,0.00,1.00,1.44,1.00,-1.78,-1.98,2.00,0.00,0.00,31.00,1.00,0.14,1.00,4.00
54,0.00,0.00,,0.00,0.03,-0.40,2.00,0.00,0.00,26.00,0.00,-1.38,,5.33
55,0.00,0.00,-1.08,1.00,0.62,-0.51,3.00,1.00,0.00,39.00,1.00,1.15,1.00,5.67
56,0.00,0.00,,0.00,0.80,0.73,2.00,1.00,0.00,62.00,0.00,0.64,,5.33
57,0.00,1.00,,0.00,-1.03,0.85,3.00,0.00,0.00,24.00,1.00,-0.88,,2.83
58,0.00,1.00,0.87,1.00,-0.19,-0.06,3.00,0.00,1.00,23.00,1.00,2.16,1.00,6.17
59,0.00,0.00,,0.00,0.63,0.39,1.00,1.00,0.00,54.00,0.00,1.65,,6.00
60,1.00,0.00,,0.00,0.92,1.41,1.00,1.00,0.00,39.00,0.00,0.64,,5.17
61,0.00,1.00,,0.00,0.06,-0.06,2.00,0.00,0.00,27.00,0.00,0.14,,3.83
62,0.00,1.00,-0.71,1.00,-0.70,-0.40,2.00,0.00,0.00,21.00,1.00,-0.37,1.00,4.50
63,0.00,0.00,,0.00,0.88,-1.87,3.00,0.00,0.00,24.00,0.00,-1.38,,4.00
64,1.00,1.00,,0.00,-0.90,0.73,3.00,0.00,1.00,26.00,1.00,-1.38,,4.67
65,0.00,1.00,,0.00,1.50,0.51,3.00,0.00,0.00,51.00,0.00,0.14,,6.00
66,0.00,1.00,,0.00,-0.21,-0.74,1.00,0.00,0.00,39.00,0.00,-1.89,,2.67
67,1.00,1.00,,0.00,0.48,-0.17,2.00,1.00,0.00,21.00,0.00,-0.37,,4.50
68,0.00,1.00,,0.00,0.56,-0.06,2.00,0.00,0.00,38.00,0.00,-0.37,,4.83
69,0.00,0.00,,0.00,0.63,-0.51,3.00,1.00,0.00,34.00,0.00,0.14,,4.83
70,0.00,1.00,,0.00,0.84,0.73,2.00,0.00,0.00,27.00,0.00,-0.37,,6.17
71,0.00,1.00,,0.00,-2.56,-3.23,2.00,1.00,0.00,30.00,0.00,1.15,,7.00
72,0.00,0.00,,0.00,-0.31,-2.66,2.00,0.00,0.00,18.00,1.00,1.15,,4.50
73,1.00,0.00,,0.00,0.71,1.30,3.00,0.00,0.00,28.00,0.00,-0.88,,2.33
74,0.00,0.00,1.44,1.00,0.25,1.52,3.00,1.00,0.00,37.00,0.00,0.14,0.00,6.17
75,1.00,1.00,,0.00,0.70,0.05,1.00,0.00,0.00,22.00,1.00,-1.38,,2.83
76,1.00,1.00,,0.00,-1.86,-1.42,1.00,1.00,0.00,22.00,1.00,-1.38,,4.00
77,1.00,1.00,0.08,1.00,1.23,1.30,3.00,0.00,1.00,23.00,0.00,0.64,1.00,5.67
78,0.00,0.00,,0.00,0.84,0.17,1.00,1.00,0.00,27.00,1.00,1.15,,4.17
79,1.00,1.00,,0.00,0.20,0.85,3.00,0.00,1.00,36.00,1.00,-0.88,,2.33
80,0.00,0.00,,0.00,1.23,0.28,3.00,1.00,0.00,37.00,1.00,1.15,,7.00
81,0.00,0.00,,0.00,-2.56,0.05,1.00,1.00,0.00,21.00,1.00,-0.37,,4.50
82,0.00,0.00,,0.00,0.44,-0.17,3.00,0.00,0.00,55.00,1.00,0.14,,5.83
83,0.00,1.00,,0.00,0.37,0.85,3.00,1.00,0.00,28.00,0.00,0.14,,6.00
84,0.00,1.00,,0.00,0.20,0.05,1.00,0.00,0.00,41.00,0.00,1.65,,6.50
85,0.00,0.00,-0.23,1.00,-1.50,-1.30,2.00,0.00,0.00,28.00,1.00,-1.38,1.00,3.83
86,0.00,0.00,,0.00,-1.47,-2.55,2.00,1.00,0.00,22.00,0.00,2.16,,4.50
87,0.00,1.00,,0.00,0.59,0.39,1.00,1.00,0.00,35.00,0.00,-0.37,,6.17
88,0.00,1.00,,0.00,0.77,-0.51,3.00,1.00,0.00,39.00,0.00,1.15,,4.50
89,0.00,1.00,,0.00,-0.46,0.62,1.00,0.00,0.00,27.00,0.00,-0.88,,2.83
90,0.00,0.00,-1.60,1.00,0.62,-0.51,3.00,0.00,0.00,25.00,0.00,1.65,1.00,6.50
91,0.00,1.00,,0.00,0.51,0.17,3.00,0.00,0.00,21.00,0.00,0.14,,5.67
92,0.00,0.00,,0.00,0.64,-1.76,2.00,1.00,0.00,44.00,0.00,1.15,,7.00
93,1.00,1.00,,0.00,0.16,0.28,1.00,0.00,0.00,31.00,0.00,-0.88,,2.50
94,0.00,1.00,0.29,1.00,-1.13,-1.76,3.00,0.00,1.00,40.00,0.00,-0.37,1.00,2.83
95,0.00,1.00,,0.00,0.85,0.62,1.00,1.00,0.00,45.00,0.00,0.64,,6.83
96,0.00,0.00,,0.00,0.38,-0.74,3.00,1.00,0.00,26.00,0.00,0.64,,4.17
97,0.00,1.00,,0.00,1.03,0.39,3.00,0.00,0.00,32.00,0.00,-0.88,,5.00
98,0.00,1.00,,0.00,-1.35,-1.98,2.00,1.00,0.00,37.00,0.00,1.65,,5.67
99,0.00,0.00,,0.00,0.38,-0.51,3.00,1.00,0.00,30.00,0.00,1.65,,5.17
100,0.00,1.00,,0.00,1.13,0.96,2.00,1.00,0.00,39.00,0.00,-0.88,,6.17